Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % of 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comprable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day
5/30/2020,426755,13.5%,622000,44%,15600,13%,20300,13%,6143,35.4%,537180,55.6%
5/29/2020,658353,11.4%,720800,33%,25100,8%,21200,7%,10185,36.5%,598608,57.0%
5/28/2020,659248,11.5%,710800,32%,25200,8%,20400,7%,10030,35.0%,584629,59.9%
5/27/2020,675705,11.9%,719200,33%,26500,8%,21000,7%,11088,37.7%,601140,63.4%
5/26/2020,657939,12.1%,709000,33%,26700,8%,21800,8%,9875,34.9%,587270,63.4%
5/25/2020,394359,15.1%,531600,46%,19300,6%,19000,7%,5428,50.3%,445015,56.5%
5/24/2020,320376,12.6%,461200,43%,11900,12%,14100,14%,4117,22.3%,461171,52.6%
5/23/2020,336250,11.2%,460700,35%,11000,9%,14000,9%,5550,35.0%,394091,43.6%
5/22/2020,634929,11.7%,690200,31%,22800,7%,19900,7%,9782,35.2%,626984,59.6%
5/21/2020,630367,11.1%,655300,30%,22600,7%,19200,7%,9731,32.7%,585553,57.8%
5/20/2020,624793,10.6%,654800,28%,22200,7%,18500,6%,10224,32.7%,542409,54.7%
5/19/2020,611951,10.4%,643600,28%,21600,7%,18700,7%,9290,30.9%,524483,54.1%
5/18/2020,596505,10.7%,624200,28%,22100,7%,19200,7%,8969,32.5%,505315,52.3%
5/17/2020,287755,11.0%,413500,37%,8800,9%,3300,3%,3577,19.1%,391606,41.3%
5/16/2020,361329,10.6%,530600,37%,11100,9%,18400,12%,5947,33.7%,477098,47.9%
5/15/2020,588784,10.3%,671500,30%,20100,6%,45300,16%,9473,33.1%,562991,53.4%
5/14/2020,568315,9.6%,616000,26%,19300,6%,16400,6%,8855,29.4%,520395,51.0%
5/13/2020,566333,9.6%,611300,26%,19400,6%,17200,6%,9437,29.5%,509243,52.1%
5/12/2020,554286,9.6%,594900,26%,19000,6%,16700,6%,8271,27.9%,488406,52.1%
5/11/2020,521702,9.6%,553300,26%,18300,6%,16700,6%,7636,29.0%,458042,50.6%
5/10/2020,272353,13.1%,386000,46%,8000,8%,9200,9%,3962,20.2%,415868,48.8%
5/9/2020,317372,9.9%,462400,32%,7700,6%,11100,7%,5055,27.8%,371426,37.4%
5/8/2020,526865,9.3%,573700,25%,15700,5%,15200,5%,8656,30.4%,483831,47.4%
5/7/2020,536003,9.1%,605600,26%,16100,5%,16200,6%,8509,27.6%,488836,49.5%
5/6/2020,509646,8.7%,538800,22%,14500,5%,14700,5%,8832,27.7%,444179,46.2%
5/5/2020,522979,9.0%,583400,25%,13300,4%,15500,5%,8445,27.3%,462086,49.4%
5/4/2020,512763,9.1%,578300,25%,11200,3%,15800,6%,8287,29.3%,447424,48.2%
5/3/2020,259199,11.1%,375900,45%,3300,3%,7600,7%,3263,18.6%,353314,44.3%
5/2/2020,326354,10.1%,478600,34%,4000,3%,10900,7%,5493,31.2%,401938,43.0%
5/1/2020,495312,8.6%,555300,25%,6200,2%,12400,4%,8332,29.0%,445621,44.1%
4/30/2020,466633,7.9%,488800,21%,9300,3%,14400,5%,7253,24.5%,405169,41.2%
4/29/2020,478589,8.2%,519600,22%,9100,3%,14800,5%,7844,25.5%,410502,43.1%
4/28/2020,490073,8.5%,555600,24%,9200,3%,15400,5%,7542,25.5%,436347,47.0%
4/27/2020,463700,8.3%,518400,23%,8800,3%,15000,5%,6922,25.4%,384124,42.4%
4/26/2020,219096,9.1%,293500,30%,1900,2%,5400,5%,2506,14.3%,231541,27.6%
4/25/2020,295836,9.1%,430800,32%,2900,3%,9100,6%,4719,28.8%,350300,38.0%
4/24/2020,444644,8.8%,475400,27%,7800,3%,13200,5%,7040,27.7%,386935,42.9%
4/23/2020,454300,8.3%,487300,25%,8400,3%,13800,5%,6969,24.9%,386938,41.1%
4/22/2020,459574,8.5%,518900,26%,8700,3%,14100,5%,7496,25.6%,398703,42.3%
4/21/2020,422860,7.8%,450900,22%,8300,3%,13700,5%,6613,23.9%,356099,38.2%
4/20/2020,438622,8.9%,498700,27%,8900,3%,14800,5%,7050,29.5%,371776,40.4%
4/19/2020,224751,9.6%,318100,32%,2200,2%,6000,6%,2742,14.2%,276406,31.4%
4/18/2020,254792,9.0%,352000,29%,2400,2%,7200,5%,4202,28.4%,254735,30.2%
4/17/2020,433106,9.1%,470300,27%,8300,3%,13500,5%,7048,28.8%,378350,39.2%
4/16/2020,421013,7.1%,447000,20%,8500,3%,13800,5%,6563,22.2%,346342,34.6%
4/15/2020,419851,7.0%,454100,19%,8600,3%,13800,5%,6928,22.0%,340213,35.1%
4/14/2020,430946,7.3%,470900,20%,8800,3%,14100,5%,6585,21.9%,356104,37.6%
4/13/2020,363961,6.5%,347800,16%,8200,3%,13000,5%,6205,22.2%,284609,31.3%
4/12/2020,198693,8.0%,279100,28%,2200,2%,5100,5%,2525,13.6%,217871,25.6%
4/11/2020,257467,7.8%,378200,27%,2700,2%,7600,5%,4235,24.0%,254755,26.9%
4/10/2020,400947,7.0%,414100,19%,8200,3%,13000,5%,5378,18.5%,314100,31.4%
4/9/2020,405325,7.0%,401900,17%,8400,3%,12900,4%,6243,19.9%,303481,31.2%
4/8/2020,428206,7.3%,431700,18%,9000,3%,13500,5%,6950,21.7%,324882,34.2%
4/7/2020,435718,7.6%,441000,19%,9300,3%,14100,5%,7041,23.3%,335470,36.7%
4/6/2020,446273,8.0%,454900,20%,10100,3%,14400,5%,7093,25.0%,335769,36.9%
4/5/2020,227603,9.1%,299600,30%,3000,3%,5600,5%,2763,14.4%,209152,23.4%
4/4/2020,282703,8.6%,383400,27%,3700,3%,8100,5%,4375,24.5%,243323,26.0%
4/3/2020,484200,8.5%,483800,22%,9700,3%,13200,5%,7794,27.3%,340273,34.9%
4/2/2020,486468,8.2%,472700,20%,10100,3%,13700,5%,7077,22.5%,339734,34.8%
4/1/2020,514201,8.7%,495400,21%,10500,3%,13600,5%,8151,25.2%,342222,36.7%
3/31/2020,509149,8.8%,514300,22%,,,,,7672,25.7%,337626,37.3%
3/30/2020,546355,9.8%,563900,25%,,,,,8084,28.3%,344690,38.4%
3/29/2020,264119,11.7%,306800,31%,,,,,3374,19.4%,197154,24.2%
3/28/2020,332993,10.2%,403700,29%,,,,,4491,26.0%,240702,25.9%
3/27/2020,658312,11.8%,641800,29%,,,,,8409,29.4%,396778,40.2%
3/26/2020,681923,11.8%,646100,28%,,,,,8795,28.8%,390117,40.3%
3/25/2020,691604,12.1%,618000,27%,,,,,9512,30.2%,375767,40.6%
3/24/2020,743314,13.1%,657800,28%,,,,,9133,30.1%,395493,43.7%
3/23/2020,711138,13.1%,578200,26%,,,,,9902,34.8%,361514,40.7%
3/22/2020,409364,16.9%,378900,35%,,,,,4824,26.1%,277051,31.8%
3/21/2020,620662,20.5%,564900,43%,,,,,6467,39.2%,382993,43.3%
3/20/2020,1312249,23.9%,868600,41%,,,,,12744,45.3%,563262,58.4%
3/19/2020,1425564,25.6%,933600,43%,,,,,14116,48.3%,569696,62.0%
3/18/2020,1629413,28.6%,1059500,45%,,,,,15942,50.0%,634853,68.8%
3/17/2020,1793359,31.8%,1094900,47%,,,,,18173,59.4%,650445,71.6%
3/16/2020,2184296,40.5%,1237300,55%,,,,,21145,75.6%,708870,79.4%
3/15/2020,1159079,47.6%,711600,69%,,,,,12480,68.3%,535988,63.6%
3/14/2020,1672800,52.5%,993300,73%,,,,,13394,79.1%,631101,69.8%
3/13/2020,3496765,62.0%,1715700,77%,,,,,26640,91.8%,860419,86.2%
3/12/2020,4163674,71.6%,1938400,82%,,,,,30814,98.5%,881188,91.3%
3/11/2020,4712462,81.5%,2113000,90%,,,,,32198,100.6%,866706,93.3%
3/10/2020,4883623,84.9%,2112000,91%,,,,,31315,102.1%,855585,94.2%
3/9/2020,4989635,89.6%,2124800,93%,,,,,29609,102.7%,860073,95.3%
3/8/2020,2122328,100.4%,957200,107%,,,,,19477,113.4%,765084,99.4%
3/7/2020,2817082,90.4%,1249100,91%,,,,,18117,103.7%,827908,92.4%
3/6/2020,5204732,91.6%,2066700,93%,,,,,30970,106.7%,945408,96.0%
3/5/2020,5513656,95.6%,2244500,99%,,,,,33209,107.1%,929298,99.1%
3/4/2020,5515945,96.8%,2177200,97%,,,,,34297,108.7%,905558,99.9%
3/3/2020,5498556,96.1%,2228600,97%,,,,,32767,106.9%,882175,98.3%
3/2/2020,5347055,123.9%,2209100,140%,,,,,30338,128.2%,874620,127.5%
3/1/2020,2214601,98.7%,984900,101%,,,,,19922,118.8%,786961,107.8%
